,wm_prod_code,prod_detail_type_code,prod_ccy,prod_risk_code,can_rcmd_ind,prod_name
2306,5006,FNDD,TWD,RR5,1,貝萊德亞太智慧數據股票入息基金累積新台幣
2309,2115,FNDD,TWD,RR5,1,野村亞太高股息基金
2311,5940,FNDD,CNY,RR3,1,柏瑞特別股息收益基金Ｂ月配人民幣
2325,AH65,FNDF,USD,RR3,1,新加坡大華全球保健基金美元月配
2327,BB63,FNDF,USD,RR3,1,安聯多元信用債券基金－ＡＭＧ穩定月收總收益類股（美元）
2329,KK99,FNDF,EUR,RR3,1,富蘭克林坦伯頓全球投資全球氣候變遷基金（ＡＣＣ）歐元
2330,OB07,FNDF,USD,RR4,1,法巴能源轉型股票基金Ｃ（美元）
2331,PP05,FNDF,EUR,RR4,1,施羅德環球歐洲收益股票（歐元）Ａ１－累積基金
2332,VV01,FNDF,USD,RR4,1,駿利亨德森策略ＡＬＰＨＡ基金Ａ股美元
2333,XX01,FNDF,EUR,RR4,1,匯豐環球投資基金歐洲股票
2334,1101,FNDD,TWD,RR4,1,日盛上選基金
2335,1117,FNDD,TWD,RR4,1,日盛全球抗暖化基金
2337,1320,FNDD,TWD,RR4,1,保德信全球資源基金
2338,1406,FNDD,TWD,RR5,1,摩根龍揚基金
2339,2305,FNDD,TWD,RR4,1,柏瑞旗艦全球成長組合基金
2340,2321,FNDD,TWD,RR4,1,柏瑞亞太高收益債券基金Ｂ月配台幣
2341,2611,FNDD,TWD,RR4,0,元績效基金
2343,3504,FNDD,TWD,RR5,0,德信中國精選成長基金
2346,4926,FNDD,USD,RR4,1,群益全球地產入息基金美元累積
2347,3706,FNDD,USD,RR5,1,國泰中國內需增長基金美元
2352,EDD3,FNDF,USD,RR3,0,聯博國際醫療基金ＥＤ月配美元
2359,CC84,FNDF,USD,RR3,1,摩根投資－ＪＰＭ環球高收益債券美元（Ａ股累計）基金
2360,EE88,FNDF,AUD,RR5,1,景順中國基金Ａ－澳幣對沖澳幣
2363,NN17,FNDF,USD,RR2,1,聯博短期債券基金ＡＴ股美元
2364,NN39,FNDF,AUD,RR5,1,聯博新興市場成長基金Ａ股澳幣避險
2365,NN50,FNDF,USD,RR5,1,聯博亞洲股票ＡＤ股美元
2370,1502,FNDD,TWD,RR4,1,華南永昌龍盈平衡基金
2371,2830,FNDD,TWD,RR4,1,富蘭克林華美退休傘型基金之目標２０４７組合基金－新臺幣
2372,2929,FNDD,TWD,RR4,1,復華全球資產證券化基金－新臺幣Ａ
2373,4901,FNDD,USD,RR4,1,群益全球關鍵生技基金美元
2375,AT04,FNDF,EUR,RR4,1,百達智慧城市Ｒ年配歐元
2386,AA19,FNDF,GBP,RR2,0,富達英鎊債券基金
2389,AC17,FNDF,USD,RR3,1,天達環球策略新興市場當地貨幣債券基金
2391,AG52,FNDF,USD,RR3,1,貝萊德美元高收益債券基金美元配現
2392,AO31,FNDF,USD,RR3,1,ＰＩＭＣＯ全球高收益債券基金Ｍ級月收強化股份
2395,EE59,FNDF,USD,RR3,1,景順健康護理基金Ａ－年配息股美元
